vehicle_type_code1,collision_count
EXCAV,4
limo,1
VAN TRUCK,13
PASS,6
Gas Moped,2
FDNY AMBUL,39
FDNY Ambul,10
CON ED TRU,2
Rescue Tru,1
TOW TRUCK,38
G PSD,2
deliv,15
USPS2,1
VAn,1
TRAC,20
Lime Scoot,1
2 DOO,1
Mack truck,1
TCN,2
SKATEBOARD,3
rmb,1
E450,1
omt,3
Road,2
Pumper,1
Truck/bus,1
SURET,1
Nypd,1
99999,1
Unk,4
USPS Mail,1
Backhoe Lo,1
SUBUR,3
MTA transi,1
TRC,3
G COM,5
tractor tr,1
firetruck,7
high,1
Commercial,22
Ladder tru,2
postal tru,2
VAN/TRUCK,2
food truck,2
E-SCOOTER,5
garbage tr,3
pickup,4
Utili,6
const,3
Pickup tru,5
FORD VAN,3
DELV WH,1
plow,1
US PO,9
Car carrie,1
AMBULENCE,5
sedan,3
FORD TRANS,3
forklift,7
SKID-,1
Well Driller,13
U-HAU,3
yello,1
Sprinter V,4
Minicycle,28
CEMENT TRU,2
UTILITY,14
BUCKE,2
FORD,22
FRIEG,3
Subn,5
refg,3
C2,2
Mail,3
HORSE,5
4SEDN,1
principle,1
c1,8
PASS-,1
PROGRESSIV,1
ELECTRIC M,2
van t,4
ulili,1
Flat bed t,1
MTA B,12
towe truck,1
Delv,4
CONST,8
Pick,7
NIU,1
Vanette,17
perm,1
BICYC,1
almbulance,1
conta,1
FEIG,1
MOTOR SKAT,1
HEAVY TRUC,1
depar,1
push,1
TRUCK TRAI,1
ambu,19
front,1
FLAT,23
ford,7
Tow T,12
usps  van,1
NYPD,6
RENTA,2
SPEC,1
Usps,2
usps 88716,1
RGR,1
Chevy,2
lmb,1
MOPED 150C,1
ARMY,1
EXCAVATOR,2
rmp,2
vAN,1
U HAU,2
UHAL,1
Skywatch,1
commerical,2
MINIV,1
Fire Engin,4
PEPSI DELI,1
OMT/T,1
Forkl,6
Garbage,1
MTA BUS,17
winne,1
Fdny Fire,1
FORD AMBUL,1
GAS MOPED,4
GOLF,7
Self,3
NonMotordS,1
Post offic,1
Suburban,2
Mail truck,1
BK,2
UPS T,2
comm,3
SUB,2
FIRTRUCK,1
HOUSE,1
Kubota bac,1
usps,13
rgs,1
Traffic To,1
TOWER,3
POWER,11
TRLR,6
Electric S,2
spec,2
Mta,1
POLICE VEH,1
Mini,2
Wh Ford co,1
COM DELIVE,1
NYS Ambula,2
OML,9
12 PASSENG,1
LIGHT TRAI,2
�MBU,1
TLC P,1
nat grid t,1
Pas (4dr s,1
MARKED VAN,1
Sweep,1
School bus,13
mtr s,1
Ford Couri,1
Pick wh,1
50CC SCOOT,1
Stree,4
g spc,1
utility tr,4
MILITARY,1
REVEL,1
Self insur,2
AMBULANE,3
USPS truck,3
YELLOW BUS,1
e sco,1
BOOM,2
charter bu,1
Firetruck,19
Ladder,1
Sprin,3
Power Shov,1
omnib,1
postal van,1
Ford FF,1
TRAILEE,1
trl,4
seagr,1
NYC F,2
Red moped,1
FRHT,3
US,2
dirtb,1
UHAUL,7
mail,7
BOBCAT FOR,1
golf,5
Enclosed Body - Removable Enclosure,7
SCOM,3
STATE,1
Comme,7
4dsd,3
EMS/VAN,1
Other,1
AMBULACE,3
RMP,5
PICK-,8
bsd,1
COMMERICAL,1
hrse,1
COURIER,2
Utility Ve,1
CARGO,6
"A,n",1
INTER,3
STACK,1
van truck,1
TRACK,2
SUDN,1
US Po,5
BLOCK,1
FRONT LOAD,1
CONSTRUCTI,1
EMS,7
