vehicle_type_code1,collision_count
refg,3
FORD TRANS,3
Motor Home,3
FORD VAN,3
Garba,3
SCOM,3
COURI,3
comm,3
Self,3
BOX,3
Grain,3
taxi,3
tow truck,3
Government,3
USPS truck,3
passe,3
Tractor Tr,3
TRC,3
GEICO,3
WORK VAN,3
4dsd,3
FRIEG,3
APPOR,3
FIRE APPAR,3
trk,3
Rescu,3
Road sweep,3
USPS MAIL,3
SKATEBOARD,3
BACK,3
suv,3
Gas Scoote,3
Sprin,3
Skateboard,3
C3,3
dump truck,3
Golf,3
government,3
SS,3
Courier,3
garbage tr,3
Utility,3
AMBULANE,3
TOWER,3
AMBULACE,3
sedan,3
FRHT,3
INTER,3
U-HAU,3
NYC SANITA,3
Fork,3
4DS,3
TL,3
MC,3
E SCOOTER,3
SE,3
MACK TRUCK,3
Gas scoote,3
Mail,3
FED E,3
Fork Lift,3
UPS TRUCK,3
City,3
MOVIN,3
4D,3
omt,3
Motorized,3
Backh,3
VMS,3
flatb,3
A,2
I1,2
SWEEP,2
Econo,2
Usps,2
acces,2
HORSE TRAI,2
ems truck,2
GRAY,2
passenger,2
US,2
CON ED TRU,2
house on w,2
Pick Up,2
Road,2
St,2
EMT Ambula,2
3 WHE,2
OIL T,2
DUMPT,2
APP,2
FREIGHT TR,2
Cement Tru,2
Omnibus,2
postal tru,2
mack,2
Self insur,2
toyot,2
golf cart,2
pick up,2
Cargo van,2
ice c,2
GAS SCOOTE,2
E-BIKE,2
Unkno,2
ENGIN,2
RENTA,2
Ladder tru,2
USPOS,2
ESU T,2
SWT,2
mc,2
Bucket Tru,2
Pick-Up,2
SW,2
TCN,2
CEMENT TRU,2
PSH,2
LIMOU,2
trac,2
Bobcat,2
miniv,2
rmp,2
suburban,2
e-scooter,2
Utility ve,2
LADDER TRU,2
FOOD CART,2
e-bik,2
Ice Cream,2
USPS VEHIC,2
TF,2
Food,2
Chevy,2
Cargo Van,2
EMS Ambula,2
ELECTRIC M,2
NYS Ambula,2
Mini,2
food,2
CARGO VAN,2
E scooter,2
uhaul,2
fork lift,2
White,2
Horse,2
C2,2
BOBCAT,2
TRACK,2
EXCAVATOR,2
3-whe,2
Flatb,2
WORK,2
LIGHT TRAI,2
GATOR,2
Ford Van,2
Grumman LL,2
PUMP,2
R/V,2
Road Sweep,2
VAN/TRUCK,2
Pavin,2
NISSA,2
OMS,2
NYC FIRE T,2
commerical,2
Mack,2
D3,2
LEFT,2
Gas Moped,2
Electric S,2
gator,2
SKATE,2
Crane,2
jeep,2
4DR,2
PASSANGER,2
bobca,2
HEAVY,2
Dirt Bike,2
Motorscoot,2
FUEL,2
subur,2
18 WHEELER,2
Fdny ambul,2
COURIER,2
d1,2
SEGWA,2
SP PURPOSE,2
mopad,2
VPG,2
Picku,2
Const,2
FDNY EMS V,2
U HAU,2
Wagon,2
spec,2
Dump Truck,2
food truck,2
cater,2
Budge,2
TOWTR,2
mta bus,2
TLC,2
BS,2
Delivery T,2
NAVIG,2
FLAT/,2
ladde,2
G TOW,2
DIRT,2
UTV,2
UPS T,2
SUB,2
Suburban,2
NYC F,2
