rounded_latitude,rounded_longitude,no_of_collisions
40.6744,-73.8965,327
40.6962,-73.9887,327
40.7344,-73.8734,327
40.6731,-73.9112,326
40.7177,-73.8171,326
40.6897,-73.9924,325
40.697,-73.9352,325
40.6716,-73.9626,324
40.6776,-73.9331,324
40.6804,-73.9496,324
40.684,-73.9775,324
40.6861,-73.9827,324
40.6925,-73.8108,324
40.7379,-73.9809,324
40.7571,-73.9936,321
40.7467,-73.9745,320
40.8645,-73.9189,320
40.63,-73.9716,320
40.7493,-73.7566,319
40.6306,-74.0092,319
40.7131,-74.0041,318
40.7534,-73.9963,317
40.7514,-74.0014,317
40.7259,-73.8953,316
40.6655,-73.9928,315
40.7286,-74.0053,315
40.7622,-73.7568,315
40.8538,-73.9073,315
40.7679,-73.9857,315
40.7188,-73.989,314
40.7454,-73.9754,314
40.7583,-73.9629,314
40.6674,-73.7668,312
40.7583,-73.8556,312
40.8934,-73.8574,312
40.7616,-73.9666,312
40.6801,-73.7532,311
40.7535,-73.9925,311
40.7177,-73.9858,310
40.8047,-73.9224,310
40.5611,-74.1698,308
40.6538,-73.9306,308
40.782,-73.9717,307
40.5861,-73.936,306
40.7561,-73.7465,306
40.7622,-73.9661,306
40.6338,-73.8897,306
40.6308,-73.8864,305
40.7032,-73.8166,305
40.6671,-73.8103,305
40.6082,-74.1294,304
40.759,-73.919,304
40.7609,-73.9611,304
40.6607,-73.8858,303
40.717,-73.8305,303
40.736,-73.9936,303
40.7236,-74.0048,302
40.763,-73.832,302
40.6655,-73.7447,301
40.6976,-73.8528,301
40.7077,-73.8028,301
40.8141,-73.9409,301
40.7006,-73.8077,300
40.8361,-73.8704,300
40.762,-74.0012,300
40.6784,-73.7795,299
40.7643,-73.7229,299
40.8467,-73.8962,299
40.6669,-73.8055,299
40.7247,-73.7541,299
40.6583,-73.9311,298
40.665,-73.8223,298
40.714,-73.9531,298
40.7423,-74.0044,298
40.7852,-73.9493,298
40.6642,-73.8411,297
40.6707,-73.958,297
40.7314,-73.9826,297
40.7524,-73.9244,297
40.7691,-73.9886,297
40.824,-73.9448,297
40.7211,-73.9982,297
40.6138,-73.9814,296
40.7565,-73.994,296
40.7639,-73.9532,296
40.8241,-73.9087,296
40.7941,-73.9704,295
40.6886,-73.9892,293
40.704,-73.8171,293
40.7403,-73.8959,293
40.7441,-73.9956,293
40.7453,-73.9985,293
40.7952,-73.9215,293
40.7629,-73.9698,292
40.7713,-73.8766,292
40.8462,-73.9323,291
40.6618,-73.8931,290
40.6731,-73.9996,290
40.7289,-73.9279,290
40.8037,-73.9358,290
40.7452,-73.9377,289
