rounded_latitude,rounded_longitude,no_of_collisions
40.7655,-73.8673,5
40.7659,-73.8666,5
40.7607,-73.8863,5
40.7682,-73.8971,5
40.7471,-73.8885,5
40.7319,-73.8732,5
40.7404,-73.8692,5
40.7431,-73.8833,5
40.7272,-73.8544,5
40.7551,-73.9086,5
40.7169,-73.9112,5
40.7257,-73.8926,5
40.726,-73.8986,5
40.73,-73.904,5
40.7336,-73.8976,5
40.7087,-73.8752,5
40.7129,-73.8778,5
40.7139,-73.8842,5
40.7151,-73.8812,5
40.7183,-73.8771,5
40.7139,-73.9216,5
40.6639,-73.7604,5
40.6783,-73.8431,5
40.6951,-73.8394,5
40.6959,-73.8277,5
40.7003,-73.831,5
40.6879,-73.82,5
40.6906,-73.8292,5
40.6924,-73.8214,5
40.6592,-73.7347,5
40.6709,-73.7372,5
40.7391,-73.7256,5
40.7041,-73.7381,5
40.7115,-73.7891,5
40.6935,-73.7888,5
40.6941,-73.7811,5
40.6978,-73.7856,5
40.6576,-73.7688,5
40.6683,-73.7814,5
40.6786,-73.7842,5
40.6804,-73.7715,5
40.7045,-73.8091,5
40.7066,-73.813,5
40.7088,-73.8158,5
40.5934,-73.7532,5
40.5979,-73.7512,5
40.6072,-73.7624,5
40.5875,-73.7976,5
40.5347,-74.1939,5
40.5354,-74.1922,5
40.5437,-74.1769,5
40.5475,-74.1965,5
40.5518,-74.2174,5
40.5531,-74.1652,5
40.5789,-74.1555,5
40.5935,-74.1439,5
40.615,-74.1574,5
40.6254,-74.1441,5
40.6321,-74.1475,5
40.639,-74.1661,5
40.6782,-73.9091,5
40.73,-73.9239,5
40.7486,-73.7948,5
40.7533,-73.9665,5
40.7658,-73.9847,5
40.7662,-73.7794,5
40.771,-73.7997,5
40.7728,-73.8042,5
40.8263,-73.8595,5
40.8478,-73.8904,5
40.8484,-73.8359,5
40.7448,-73.9951,5
40.7516,-73.9939,5
40.752,-73.9911,5
40.7179,-73.9864,5
40.7181,-73.987,5
40.7209,-73.9841,5
40.733,-73.9907,5
40.7389,-73.9928,5
40.7397,-73.9927,5
40.7171,-73.9956,5
40.7446,-73.9775,5
40.7459,-73.9801,5
40.754,-73.98,5
40.7546,-73.9795,5
40.7559,-73.9788,5
40.7608,-73.9766,5
40.7573,-73.9637,5
40.7583,-73.9748,5
40.7693,-73.9821,5
40.7807,-73.9801,5
40.813,-73.9491,5
40.7985,-73.9417,5
40.8144,-73.9415,5
40.8537,-73.934,5
40.8631,-73.9175,5
40.869,-73.9139,5
40.758,-73.9858,5
40.8181,-73.9379,5
40.707,-74.0071,5
40.8243,-73.9371,5
40.7643,-73.9688,5
40.6117,-74.1059,5
40.6199,-74.0899,5
40.6062,-74.091,5
40.5684,-74.1205,5
40.5234,-74.2096,5
40.5267,-74.1782,5
40.8143,-73.921,5
40.8197,-73.9181,5
40.8452,-73.8906,5
40.8223,-73.8917,5
40.8287,-73.8881,5
40.8352,-73.8838,5
40.8361,-73.8832,5
40.8445,-73.8306,5
40.857,-73.8557,5
40.8299,-73.8443,5
40.856,-73.8677,5
40.8563,-73.8657,5
40.8899,-73.9153,5
40.8266,-73.8221,5
40.8875,-73.865,5
40.8924,-73.8566,5
40.8957,-73.8605,5
40.8984,-73.8541,5
40.8666,-73.869,5
40.9018,-73.851,5
40.904,-73.9042,5
40.8306,-73.8749,5
40.8089,-73.884,5
40.8187,-73.8837,5
40.8719,-73.8304,5
40.8807,-73.8266,5
40.7522,-73.9357,5
40.7758,-73.9025,5
40.7619,-73.9253,5
40.6915,-73.9863,5
40.6977,-73.9861,5
40.7001,-73.9945,5
40.6585,-73.9452,5
40.6907,-73.9554,5
40.6926,-73.9667,5
40.7001,-73.947,5
40.7012,-73.9367,5
40.6729,-73.8712,5
40.6566,-73.9213,5
40.6612,-73.9073,5
40.6637,-73.9271,5
40.68,-73.9427,5
40.6817,-73.9769,5
40.6341,-73.9895,5
40.6389,-73.9945,5
40.6878,-73.9369,5
40.7278,-73.9372,5
40.5728,-73.9916,5
40.5799,-73.9733,5
40.6676,-73.9612,5
40.6354,-73.9624,5
40.6372,-73.9586,5
40.6457,-73.9591,5
40.6103,-73.9535,5
40.6183,-73.9629,5
40.6267,-73.9626,5
40.6744,-74.01,5
40.6688,-73.9201,5
40.5793,-73.9571,5
40.585,-73.9342,5
40.5909,-73.9401,5
40.6357,-73.9131,5
40.6448,-73.9198,5
40.6476,-73.8945,5
40.7131,-73.927,5
40.6519,-73.8857,5
40.7168,-73.9648,5
40.7661,-73.8142,5
40.7718,-73.81,5
40.7596,-73.8097,5
40.795,-73.8104,5
40.7809,-73.7755,5
40.7525,-73.737,5
40.7646,-73.7353,5
40.7709,-73.7502,5
40.7427,-73.7642,5
40.7338,-73.8198,5
40.7341,-73.8194,5
40.7537,-73.8667,5
40.7555,-73.868,5
40.7649,-73.869,5
40.7702,-73.8706,5
40.751,-73.8729,5
40.7565,-73.8735,5
40.7475,-73.8786,5
40.7193,-73.873,5
40.7,-73.8994,5
40.672,-73.7515,5
40.681,-73.7526,5
40.7115,-73.8268,5
40.6804,-73.8587,5
40.7017,-73.8365,5
40.7023,-73.8195,5
40.66,-73.7367,5
40.7073,-73.7735,5
40.7122,-73.7737,5
40.7243,-73.7286,5
40.73,-73.7269,5
40.7147,-73.7873,5
40.7052,-73.7846,5
40.6835,-73.7922,5
40.7018,-73.8086,5
40.7078,-73.8174,5
40.5797,-73.8501,5
40.5821,-74.1315,5
40.5887,-73.8028,5
40.5903,-74.1662,5
40.6249,-74.1604,5
40.7074,-73.8251,5
40.7141,-73.8513,5
40.7202,-73.9448,5
40.7297,-73.75,5
40.7355,-73.8777,5
40.7491,-73.9728,5
40.7907,-73.8427,5
40.8403,-73.8424,5
40.8419,-73.8471,5
40.8587,-73.8493,5
40.7477,-73.9869,5
40.7349,-73.986,5
40.7426,-73.9867,5
40.7435,-73.9903,5
40.7152,-73.9972,5
40.7171,-73.9985,5
40.7263,-74.0075,5
40.7505,-73.9855,5
40.7644,-73.9833,5
40.7706,-73.9875,5
40.7845,-73.9755,5
40.7983,-73.9488,5
40.7992,-73.9518,5
40.7968,-73.9374,5
40.8394,-73.9391,5
40.8466,-73.9354,5
40.7586,-73.9832,5
40.5674,-74.131,5
40.5725,-74.1302,5
40.6279,-74.1244,5
40.5201,-74.1882,5
40.6082,-74.1211,5
40.8123,-73.9036,5
40.813,-73.914,5
40.8181,-73.915,5
40.8314,-73.8999,5
40.8466,-73.8961,5
40.8577,-73.8881,5
40.8234,-73.8999,5
40.8322,-73.8887,5
40.8456,-73.8875,5
40.8508,-73.8666,5
40.8714,-73.9065,5
40.894,-73.8594,5
40.8622,-73.91,5
40.8625,-73.9109,5
40.8713,-73.9025,5
40.828,-73.8523,5
40.8293,-73.8611,5
40.8329,-73.8629,5
40.8214,-73.8517,5
40.8058,-73.8851,5
40.6958,-73.9457,5
40.6974,-73.951,5
40.6983,-73.9428,5
40.703,-73.9332,5
40.6652,-73.8952,5
40.6668,-73.886,5
40.6641,-73.8605,5
40.679,-73.865,5
40.6551,-73.9109,5
40.6633,-73.9091,5
40.6691,-73.9115,5
40.6698,-73.9102,5
40.6631,-73.9859,5
40.6689,-73.9932,5
40.6803,-73.9463,5
40.601,-73.9614,5
40.5791,-74.0004,5
40.6552,-73.961,5
40.5987,-73.9513,5
40.611,-73.9535,5
40.6129,-73.954,5
40.6258,-73.9179,5
40.5867,-73.9525,5
40.6529,-73.897,5
40.7239,-73.8129,5
40.7573,-73.8636,5
40.7625,-73.8655,5
40.7665,-73.8648,5
40.7477,-73.8925,5
40.7499,-73.8833,5
40.7132,-73.9089,5
40.7225,-73.9077,5
40.7278,-73.8966,5
40.7278,-73.9041,5
40.698,-73.8957,5
40.6988,-73.7474,5
40.6469,-73.7509,5
40.685,-73.8599,5
40.6596,-73.7399,5
40.7055,-73.7361,5
40.7103,-73.7824,5
40.7165,-73.7923,5
40.7264,-73.7896,5
40.7001,-73.782,5
40.7011,-73.7833,5
40.6578,-73.7676,5
40.6834,-73.7794,5
40.7039,-73.8152,5
40.5815,-73.8432,5
40.6522,-73.7339,5
40.6981,-73.7827,5
40.7506,-73.7781,5
40.7548,-73.771,5
40.7503,-73.989,5
40.721,-73.9887,5
40.7214,-73.9927,5
40.7394,-73.9798,5
40.7238,-73.9937,5
40.7405,-73.979,5
40.7435,-73.9826,5
40.7524,-73.9796,5
40.7503,-73.985,5
40.7689,-73.9924,5
40.801,-73.9473,5
40.8011,-73.9554,5
40.8016,-73.9486,5
40.8171,-73.9479,5
40.8334,-73.9433,5
40.8389,-73.9414,5
40.7623,-73.9919,5
40.6098,-74.1054,5
40.5583,-74.1586,5
40.8501,-73.8995,5
40.8508,-73.8621,5
40.8931,-73.8566,5
40.8598,-73.8685,5
40.8661,-73.8654,5
40.867,-73.8705,5
40.8802,-73.8601,5
40.8869,-73.8242,5
40.7377,-73.7064,5
40.7492,-73.9367,5
40.7632,-73.9244,5
40.6073,-73.9866,5
40.6891,-73.965,5
40.7022,-73.936,5
40.7151,-73.9548,5
40.6584,-73.9171,5
40.6691,-73.9096,5
40.6812,-73.9772,5
40.6488,-73.9648,5
40.619,-73.9695,5
40.6736,-73.9168,5
40.6772,-73.9258,5
40.6196,-73.9167,5
40.6245,-73.9115,5
40.6349,-73.9286,5
40.6993,-73.9134,5
40.685,-73.9607,5
40.7495,-73.8625,5
40.7527,-73.8598,5
40.7199,-73.8564,5
40.7228,-73.8841,5
40.6575,-73.732,5
40.6978,-73.7753,5
40.5583,-74.1498,5
40.7097,-74.0128,5
40.7418,-73.9844,5
40.7638,-73.9924,5
40.7611,-73.9732,5
40.8085,-73.945,5
40.835,-73.9468,5
40.838,-73.9408,5
40.8468,-73.9358,5
40.8292,-73.9375,5
40.5994,-74.073,5
40.5529,-74.1915,5
40.8058,-73.9096,5
40.8232,-73.8893,5
40.8304,-73.8987,5
40.9012,-73.8468,5
40.8732,-73.867,5
40.8808,-73.8821,5
40.683,-73.9067,5
40.6655,-73.8721,5
40.621,-74.0286,5
40.7134,-73.9346,5
40.6751,-73.9479,5
40.6915,-73.9507,5
40.644,-73.9892,5
40.6448,-73.9719,5
40.63,-74.0102,5
40.6325,-74.0107,5
40.6752,-73.9199,5
40.6775,-73.93,5
40.6776,-73.9127,5
40.7103,-73.9334,5
40.7136,-73.966,5
40.7773,-73.7979,5
40.721,-73.8091,5
40.7509,-73.8704,5
40.763,-73.8782,5
40.7253,-73.9099,5
40.6737,-73.8189,5
40.6505,-73.7331,5
40.6628,-73.7676,5
40.6803,-73.7754,5
40.5753,-73.8565,5
40.6882,-73.807,5
40.7147,-73.8509,5
40.7674,-73.9005,5
40.7042,-74.0132,5
40.7243,-73.9813,5
40.7398,-73.9825,5
40.6306,-74.0811,5
40.5023,-74.2408,5
40.5667,-74.1939,5
40.6047,-74.1378,5
40.8002,-73.9139,5
40.8129,-73.8273,5
40.6676,-73.8963,5
40.6685,-73.896,5
40.6623,-73.9215,5
40.7956,-73.819,5
40.7582,-73.7967,5
40.7808,-73.7913,5
40.6646,-73.7588,5
40.5978,-73.7825,5
40.5359,-74.1597,5
40.7119,-74.0033,5
40.7139,-73.7787,5
40.7423,-74.0081,5
40.8333,-73.9454,5
40.6409,-74.0813,5
40.5487,-74.1933,5
40.5489,-74.1748,5
40.8307,-73.8906,5
40.8561,-73.8515,5
40.7803,-73.9167,5
40.6349,-73.9923,5
40.8425,-73.8246,5
40.7189,-73.9926,5
40.8903,-73.858,5
40.7311,-73.7089,5
40.61,-73.9437,5
40.5876,-73.964,5
40.8446,-73.8685,5
40.5069,-74.253,4
40.5261,-74.226,4
40.5387,-74.1834,4
40.55,-74.2195,4
40.5552,-74.1521,4
40.5557,-74.2112,4
40.5645,-74.1856,4
40.5645,-74.0976,4
40.5715,-74.1203,4
40.5792,-73.9544,4
40.5838,-74.1585,4
40.584,-73.9853,4
40.5841,-73.9656,4
40.5865,-73.9334,4
40.5932,-73.9952,4
40.5938,-73.9972,4
40.5942,-74.0618,4
40.5968,-73.7726,4
40.5979,-74.1625,4
40.5986,-73.9884,4
40.6013,-73.7682,4
40.6027,-74.1631,4
40.6029,-74.0108,4
40.6031,-74.083,4
40.6035,-74.1343,4
40.604,-74.1868,4
40.6043,-74.1247,4
40.6054,-74.1209,4
40.6061,-74.1841,4
40.6065,-74.1408,4
40.6074,-74.161,4
40.6085,-74.125,4
40.609,-74.161,4
40.6115,-74.1402,4
40.6116,-73.9479,4
40.6128,-74.159,4
40.6132,-74.1586,4
40.6158,-73.9866,4
40.6179,-74.1776,4
40.6204,-74.0412,4
40.6222,-74.1583,4
40.6246,-74.159,4
40.6247,-74.1419,4
40.6254,-74.1353,4
40.6263,-74.152,4
40.6263,-74.1316,4
40.6274,-74.111,4
40.6278,-74.0179,4
40.6317,-74.0761,4
40.6348,-74.1662,4
40.6356,-74.1289,4
40.6365,-74.1495,4
40.637,-74.1472,4
40.6373,-74.1605,4
40.6373,-74.131,4
40.6374,-74.1338,4
40.6383,-74.1627,4
40.6387,-74.1712,4
40.6462,-73.9128,4
40.6525,-73.7428,4
40.6559,-73.9802,4
40.6601,-73.8692,4
40.6605,-73.7746,4
40.6622,-73.8963,4
40.6637,-73.8323,4
40.6666,-73.9949,4
40.6668,-73.7797,4
40.6677,-73.8079,4
40.6681,-73.7644,4
40.6694,-73.9202,4
40.6727,-73.9697,4
40.6738,-73.7796,4
40.6835,-73.8958,4
40.6939,-73.8686,4
40.6942,-73.8641,4
40.6944,-73.9852,4
40.6956,-73.7711,4
40.6961,-73.9426,4
40.6973,-73.9823,4
40.7,-73.9245,4
40.7033,-73.9934,4
40.705,-73.7688,4
40.705,-74.0089,4
40.7057,-74.0036,4
40.7068,-74.0159,4
40.7085,-73.7658,4
40.7101,-73.9585,4
40.7121,-74.0141,4
40.7122,-73.7572,4
40.714,-73.8996,4
40.7164,-73.7286,4
40.7178,-73.7278,4
40.72,-73.7322,4
40.7205,-74.007,4
40.7205,-73.8343,4
40.7228,-73.8577,4
40.7241,-73.8607,4
40.7263,-73.9427,4
40.7264,-73.9785,4
40.7285,-73.9094,4
40.7288,-73.9881,4
40.7291,-73.7599,4
40.7305,-73.8041,4
40.733,-73.7462,4
40.7344,-73.961,4
40.7352,-73.7435,4
40.7356,-73.915,4
40.7358,-73.9762,4
40.7368,-73.9744,4
40.7374,-73.7488,4
40.739,-73.7402,4
40.7391,-73.769,4
40.7404,-74.0091,4
40.7436,-73.7351,4
40.7451,-73.9888,4
40.7477,-73.7947,4
40.7486,-73.9752,4
40.7499,-73.8109,4
40.75,-73.9368,4
40.7501,-73.9827,4
40.7504,-73.9736,4
40.7517,-73.7674,4
40.7542,-73.8979,4
40.7561,-73.9001,4
40.7568,-73.7295,4
40.7594,-73.9015,4
40.7598,-73.7153,4
40.7602,-73.9839,4
40.7614,-73.7334,4
40.7617,-73.8974,4
40.7645,-73.722,4
40.7646,-73.7305,4
40.7675,-73.7907,4
40.7693,-73.8816,4
40.7698,-73.7497,4
40.77,-73.7613,4
40.7717,-73.8949,4
40.7731,-73.7843,4
40.7769,-73.9193,4
40.7774,-73.7846,4
40.7783,-73.9061,4
40.7803,-73.785,4
40.7815,-73.9869,4
40.7831,-73.7857,4
40.7851,-73.9695,4
40.786,-73.983,4
40.7873,-73.8051,4
40.7985,-73.9392,4
40.8025,-73.9301,4
40.8056,-73.9224,4
40.8101,-73.9349,4
40.8133,-73.9414,4
40.8179,-73.9616,4
40.8273,-73.9536,4
40.829,-73.8366,4
40.829,-73.8368,4
40.8323,-73.8511,4
40.8324,-73.8927,4
40.8348,-73.9353,4
40.8409,-73.9289,4
40.8449,-73.915,4
40.845,-73.8915,4
40.8469,-73.8689,4
40.8502,-73.8979,4
40.8538,-73.8257,4
40.8547,-73.8953,4
40.8558,-73.8699,4
40.8567,-73.8265,4
40.8616,-73.9356,4
40.8629,-73.9152,4
40.8672,-73.8838,4
40.8678,-73.9209,4
40.871,-73.879,4
40.8751,-73.8795,4
40.886,-73.8053,4
40.8867,-73.8872,4
40.8881,-73.8877,4
40.8965,-73.8845,4
40.9082,-73.8861,4
40.788,-73.9559,4
40.7884,-73.9563,4
40.7455,-73.9892,4
40.7456,-73.9934,4
40.7457,-73.9916,4
40.7463,-73.9892,4
40.7463,-73.9951,4
40.7465,-73.9915,4
40.7471,-73.9874,4
40.7476,-73.9905,4
40.7481,-74.0012,4
40.7482,-73.9861,4
40.7485,-73.9964,4
40.7487,-73.9881,4
40.7489,-73.9935,4
40.7499,-73.9952,4
40.7523,-73.9918,4
40.7527,-74.0025,4
40.7528,-73.9948,4
40.7092,-73.9958,4
40.7114,-73.9883,4
40.7116,-73.9864,4
40.7122,-73.9951,4
40.7125,-73.9919,4
40.7127,-73.9891,4
40.7135,-73.9884,4
40.7138,-73.9902,4
40.7139,-73.9919,4
40.7144,-73.9864,4
40.7153,-73.9917,4
40.7154,-73.987,4
40.7156,-73.9933,4
40.7163,-73.9801,4
40.7167,-73.9901,4
40.717,-73.9908,4
40.7174,-73.9897,4
40.7193,-73.985,4
40.7201,-73.9934,4
40.7206,-73.989,4
40.7207,-73.9889,4
40.7208,-73.9938,4
40.7214,-73.9913,4
40.7226,-73.9932,4
40.7232,-73.9896,4
40.7264,-73.9893,4
40.7268,-73.9909,4
40.7272,-73.9915,4
40.7272,-73.9881,4
40.7275,-73.9907,4
40.7283,-73.9907,4
40.7294,-73.9934,4
40.7297,-73.9898,4
40.7297,-73.9885,4
40.7305,-73.9863,4
40.7307,-73.9861,4
40.7313,-73.9857,4
40.7318,-73.9837,4
40.732,-73.9842,4
40.7342,-73.9893,4
40.7348,-73.9882,4
40.7349,-73.9944,4
40.7352,-73.9895,4
40.7355,-73.9811,4
40.7356,-73.9849,4
40.7359,-73.9838,4
40.7363,-73.9909,4
40.7363,-73.9867,4
40.7364,-73.9888,4
40.7374,-73.9855,4
40.7377,-73.9862,4
40.7378,-73.9881,4
40.7059,-74.0103,4
40.706,-74.0132,4
40.7099,-74.0146,4
40.7132,-73.9999,4
40.7133,-74.0092,4
40.7209,-73.9781,4
40.721,-73.978,4
40.7231,-73.9881,4
40.7236,-73.9873,4
40.7237,-73.9852,4
40.7245,-73.9798,4
40.7246,-73.9785,4
40.7246,-73.9816,4
40.7246,-73.9846,4
40.725,-73.9843,4
40.7259,-73.9758,4
40.7292,-73.9837,4
40.7293,-73.9752,4
40.731,-73.9818,4
40.7316,-73.9824,4
40.737,-73.9816,4
40.7372,-73.9783,4
40.7385,-73.9876,4
40.7391,-73.983,4
40.7402,-73.9885,4
40.7404,-73.982,4
40.7407,-73.9917,4
40.7408,-73.9919,4
40.7411,-73.9836,4
40.7411,-73.9907,4
40.7426,-73.9899,4
40.7333,-73.9998,4
40.7356,-73.9949,4
40.7394,-73.9921,4
40.7423,-73.9955,4
40.7442,-73.9956,4
40.7211,-73.9942,4
40.7217,-73.9957,4
40.7232,-73.994,4
40.7236,-74.0027,4
40.7246,-73.9997,4
40.7248,-73.9962,4
40.7269,-73.9946,4
40.7147,-73.9989,4
40.7154,-73.9979,4
40.7156,-74.0092,4
40.7156,-73.9975,4
40.7168,-73.9958,4
40.7168,-73.9968,4
40.7172,-74.0007,4
40.7175,-73.9973,4
40.7176,-73.9994,4
40.7177,-74.0041,4
40.7179,-74.0009,4
40.7179,-74.0032,4
40.7185,-73.9991,4
40.7189,-74.0109,4
40.7191,-74.0088,4
40.7195,-73.9987,4
40.7201,-74.0085,4
40.7202,-74.0012,4
40.7215,-74.0019,4
40.7215,-74.0107,4
40.7234,-74.0037,4
40.7244,-74.0056,4
40.7284,-74.0035,4
40.729,-74.0025,4
40.7292,-74.0052,4
40.7335,-74.0033,4
40.7339,-74.0053,4
40.7341,-73.9998,4
40.7417,-74.0072,4
40.7406,-73.9789,4
40.741,-73.9804,4
40.7424,-73.98,4
40.7428,-73.9791,4
40.7443,-73.9787,4
40.7447,-73.981,4
40.7451,-73.9844,4
40.7462,-73.9813,4
40.7469,-73.9836,4
40.7484,-73.9747,4
40.7497,-73.9777,4
40.7499,-73.9751,4
40.7506,-73.9767,4
40.7524,-73.9732,4
40.7562,-73.9768,4
40.7514,-73.9838,4
40.7521,-73.9834,4
40.7523,-73.988,4
40.7524,-73.9844,4
40.7525,-73.9826,4
40.7526,-73.9857,4
40.7544,-73.9956,4
40.7547,-73.9936,4
40.7605,-73.9779,4
40.7612,-73.9832,4
40.7618,-73.981,4
40.7622,-73.9763,4
40.7623,-73.988,4
40.763,-73.9894,4
40.7637,-73.9894,4
40.7639,-73.9887,4
40.765,-73.9829,4
40.766,-73.9973,4
40.7666,-73.9885,4
40.767,-73.9875,4
40.7673,-73.9941,4
40.7708,-73.9927,4
40.7667,-73.9512,4
40.7562,-73.9726,4
40.7569,-73.9655,4
40.7599,-73.972,4
40.7601,-73.9761,4
40.762,-73.9697,4
40.7627,-73.9692,4
40.7716,-73.9886,4
40.774,-73.9822,4
40.7771,-73.9865,4
40.7777,-73.986,4
40.7792,-73.983,4
40.78,-73.9828,4
40.7822,-73.9721,4
40.7822,-73.9802,4
40.7842,-73.9746,4
40.7843,-73.975,4
40.7912,-73.9743,4
40.793,-73.9699,4
40.7949,-73.9716,4
40.8013,-73.9656,4
40.7978,-73.9486,4
40.7983,-73.9506,4
40.799,-73.9519,4
40.7994,-73.9534,4
40.8002,-73.9554,4
40.8005,-73.9484,4
40.801,-73.9593,4
40.8022,-73.9501,4
40.8022,-73.957,4
40.8033,-73.9581,4
40.8034,-73.9561,4
40.8035,-73.9533,4
40.8039,-73.9527,4
40.8046,-73.9559,4
40.8053,-73.951,4
40.8054,-73.9547,4
40.8069,-73.9529,4
40.8071,-73.9534,4
40.8071,-73.9586,4
40.8074,-73.9468,4
40.8083,-73.9451,4
40.8091,-73.9519,4
40.8096,-73.9459,4
40.8111,-73.9533,4
40.8111,-73.9512,4
40.8111,-73.9534,4
40.8113,-73.9522,4
40.8118,-73.9518,4
40.812,-73.9477,4
40.8142,-73.9483,4
40.8142,-73.9495,4
40.8149,-73.9544,4
40.8153,-73.9553,4
40.8169,-73.9537,4
40.8192,-73.9569,4
40.7789,-73.9621,4
40.7871,-73.945,4
40.7878,-73.9438,4
40.7885,-73.9395,4
40.7897,-73.9422,4
40.7905,-73.9476,4
40.7907,-73.9475,4
40.7913,-73.9442,4
40.7921,-73.9413,4
40.7925,-73.951,4
40.7928,-73.9398,4
40.7933,-73.9488,4
40.794,-73.945,4
40.7953,-73.9441,4
40.7961,-73.9414,4
40.7996,-73.9438,4
40.8145,-73.9443,4
40.8158,-73.9448,4
40.8171,-73.94,4
40.8177,-73.9396,4
40.8183,-73.9416,4
40.8194,-73.9417,4
40.8202,-73.9415,4
40.8207,-73.9409,4
40.8182,-73.9504,4
40.823,-73.9557,4
40.8255,-73.9482,4
40.8272,-73.9502,4
40.8274,-73.9427,4
40.8318,-73.9428,4
40.832,-73.9439,4
40.8325,-73.9432,4
40.8342,-73.9392,4
40.8343,-73.9416,4
40.8345,-73.939,4
40.8353,-73.9421,4
40.8377,-73.9458,4
40.8388,-73.9456,4
40.8415,-73.9395,4
40.8421,-73.9402,4
40.8431,-73.9383,4
40.8432,-73.9374,4
40.8456,-73.9411,4
40.8431,-73.9346,4
40.8456,-73.938,4
40.8457,-73.9386,4
40.8465,-73.9351,4
40.8502,-73.9398,4
40.8522,-73.9347,4
40.8539,-73.9393,4
40.8543,-73.9363,4
40.8643,-73.9186,4
40.8646,-73.9198,4
40.866,-73.9194,4
40.8671,-73.9208,4
40.8671,-73.9228,4
40.8704,-73.9167,4
40.8724,-73.9127,4
40.7968,-73.9333,4
40.7991,-73.9347,4
40.7994,-73.933,4
40.7995,-73.9377,4
40.8004,-73.9437,4
40.8008,-73.939,4
40.8019,-73.9341,4
40.8041,-73.9369,4
40.8058,-73.9385,4
40.8067,-73.9378,4
40.7537,-73.9814,4
40.7571,-73.9917,4
40.7591,-73.9958,4
40.7594,-73.9831,4
40.7596,-73.9894,4
40.7597,-73.9896,4
40.7599,-73.9901,4
40.7601,-73.9886,4
40.7607,-73.9872,4
40.7624,-73.9903,4
40.7631,-73.9929,4
40.7633,-73.9928,4
40.7644,-73.9969,4
40.8112,-73.9366,4
40.8143,-73.9374,4
40.8151,-73.9402,4
40.8157,-73.9366,4
40.8167,-73.9352,4
40.706,-74.0052,4
40.7061,-74.0042,4
40.7089,-74.0071,4
40.709,-74.0076,4
40.7101,-74.0076,4
40.7105,-74.0055,4
40.7106,-74.0008,4
40.8239,-73.9406,4
40.824,-73.9388,4
40.8246,-73.9382,4
40.8302,-73.9365,4
40.831,-73.9359,4
40.8573,-73.9323,4
40.7606,-73.9603,4
40.7634,-73.9613,4
40.7642,-73.9553,4
40.7657,-73.959,4
40.748,-73.9849,4
40.7524,-73.9941,4
40.6077,-74.1005,4
40.6318,-74.076,4
40.6325,-74.0757,4
40.6333,-74.0951,4
40.6336,-74.086,4
40.6346,-74.1021,4
40.6376,-74.08,4
40.6409,-74.0852,4
40.6417,-74.0936,4
40.6419,-74.0793,4
40.6282,-74.1373,4
40.6374,-74.1712,4
40.5979,-74.097,4
40.6016,-74.0894,4
40.609,-74.0858,4
40.6093,-74.0878,4
40.6095,-74.0876,4
40.6153,-74.0878,4
40.6166,-74.0827,4
40.6185,-74.084,4
40.6187,-74.0767,4
40.6202,-74.0786,4
40.6255,-74.0845,4
40.6256,-74.079,4
40.6281,-74.0764,4
40.5815,-74.0822,4
40.5843,-74.0876,4
40.5936,-74.0734,4
40.5954,-74.0697,4
40.5959,-74.0623,4
40.597,-74.0654,4
40.6005,-74.0638,4
40.6015,-74.0818,4
40.6073,-74.0745,4
40.61,-74.0632,4
40.6117,-74.0688,4
40.6122,-74.0699,4
40.6123,-74.0711,4
40.6124,-74.0736,4
40.6128,-74.0623,4
40.614,-74.0705,4
40.6147,-74.065,4
40.6183,-74.0692,4
40.5558,-74.1311,4
40.5578,-74.1205,4
40.5601,-74.1073,4
40.5622,-74.123,4
40.5625,-74.114,4
40.563,-74.1405,4
40.5674,-74.1237,4
40.5693,-74.1141,4
40.5718,-74.0974,4
40.5742,-74.1017,4
40.5755,-74.1079,4
40.5076,-74.2529,4
40.5095,-74.2452,4
40.513,-74.2382,4
40.5458,-74.1516,4
40.5461,-74.1436,4
40.547,-74.1591,4
40.5475,-74.15,4
40.551,-74.1543,4
40.5525,-74.1373,4
40.558,-74.1505,4
40.5626,-74.1535,4
40.5079,-74.2292,4
40.5161,-74.1956,4
40.5212,-74.2135,4
40.5227,-74.2393,4
40.5235,-74.216,4
40.5243,-74.2392,4
40.5243,-74.2123,4
40.5251,-74.2393,4
40.5265,-74.2013,4
40.5301,-74.2008,4
40.5353,-74.2116,4
40.5358,-74.2159,4
40.5408,-74.2247,4
40.6287,-74.1162,4
40.6288,-74.1089,4
40.6299,-74.1058,4
40.6339,-74.1255,4
40.6403,-74.1206,4
40.5299,-74.1882,4
40.5375,-74.1791,4
40.5395,-74.1773,4
40.542,-74.1856,4
40.5421,-74.1572,4
40.5426,-74.1827,4
40.5439,-74.1948,4
40.5443,-74.1605,4
40.5447,-74.1951,4
40.5447,-74.1684,4
40.5467,-74.1859,4
40.5492,-74.1883,4
40.5534,-74.1966,4
40.555,-74.1732,4
40.5603,-74.177,4
40.5646,-74.1833,4
40.5653,-74.1839,4
40.5789,-74.1683,4
40.5853,-74.1504,4
40.6039,-74.1306,4
40.6044,-74.1237,4
40.6107,-74.1266,4
40.6118,-74.1212,4
40.6126,-74.1297,4
40.6177,-74.1195,4
40.8117,-73.9311,4
40.821,-73.9129,4
40.8214,-73.9181,4
40.8219,-73.9119,4
40.8243,-73.9093,4
40.8243,-73.9165,4
40.8244,-73.91,4
40.8249,-73.9153,4
40.8254,-73.9179,4
